"2021 super output area - lower layer","mnemonic","row","Total: All households","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 or more cars or vans in household"
"Leeds 001A","E01011698",1,632,91,258,234,49
"Leeds 001B","E01011699",2,577,40,259,219,59
"Leeds 001C","E01011701",3,596,63,239,250,44
"Leeds 001D","E01011702",4,664,52,191,313,108
"Leeds 001E","E01011703",5,564,34,229,237,64
"Leeds 002A","E01011697",6,687,78,269,254,86
"Leeds 002B","E01011700",7,600,103,243,193,61
"Leeds 002C","E01011704",8,1145,297,540,256,52
"Leeds 002D","E01011705",9,642,158,290,167,27
"Leeds 003A","E01011581",10,731,83,337,243,68
"Leeds 003B","E01011582",11,743,242,290,167,44
"Leeds 003C","E01011583",12,647,64,283,233,67
"Leeds 003D","E01011584",13,759,97,344,248,70
"Leeds 004A","E01011569",14,897,235,406,201,55
"Leeds 004B","E01011571",15,759,143,340,202,74
"Leeds 004C","E01011572",16,830,127,433,235,35
"Leeds 004D","E01011573",17,543,61,231,194,57
"Leeds 004E","E01011574",18,700,206,306,152,36
"Leeds 005A","E01011707",19,597,103,239,202,53
"Leeds 005B","E01011709",20,845,106,283,359,97
"Leeds 005C","E01011710",21,626,72,243,237,74
"Leeds 005D","E01011711",22,659,89,269,224,77
"Leeds 005E","E01011712",23,611,51,226,256,78
"Leeds 006A","E01011561",24,525,38,195,215,77
"Leeds 006B","E01011696",25,656,58,215,290,93
"Leeds 006C","E01011706",26,619,39,180,311,89
"Leeds 006D","E01011708",27,628,54,197,292,85
"Leeds 006E","E01011713",28,707,35,212,344,116
"Leeds 007A","E01011570",29,961,78,360,392,131
"Leeds 007C","E01011576",30,580,29,165,282,104
"Leeds 007E","E01032503",31,614,47,225,237,105
"Leeds 007F","E01032504",32,746,64,268,325,89
"Leeds 008A","E01011266",33,1140,89,518,428,105
"Leeds 008B","E01011270",34,682,31,225,318,108
"Leeds 008C","E01011279",35,578,103,268,156,51
"Leeds 008D","E01011280",36,842,83,363,314,82
"Leeds 009A","E01011265",37,912,223,444,210,35
"Leeds 009B","E01011267",38,723,168,336,170,49
"Leeds 009C","E01011271",39,894,102,414,312,66
"Leeds 009D","E01011272",40,565,55,230,224,56
"Leeds 010A","E01011268",41,629,204,271,114,40
"Leeds 010B","E01011273",42,722,139,330,215,38
"Leeds 010C","E01011274",43,670,233,291,112,34
"Leeds 010D","E01011275",44,609,99,300,158,52
"Leeds 011A","E01011264",45,576,110,269,153,44
"Leeds 011B","E01011269",46,756,198,318,190,50
"Leeds 011C","E01011276",47,791,134,337,256,64
"Leeds 011D","E01011578",48,620,105,318,144,53
"Leeds 012A","E01011554",49,587,60,253,214,60
"Leeds 012B","E01011562",50,625,40,230,252,103
"Leeds 012C","E01011563",51,611,71,241,229,70
"Leeds 012D","E01011564",52,607,50,247,242,68
"Leeds 012E","E01011567",53,560,45,266,187,62
"Leeds 013A","E01011376",54,680,60,269,277,74
"Leeds 013B","E01011377",55,604,92,252,201,59
"Leeds 013C","E01011378",56,699,298,283,97,21
"Leeds 013D","E01011382",57,743,85,382,236,40
"Leeds 014A","E01011277",58,641,59,264,264,54
"Leeds 014B","E01011278",59,739,85,356,243,55
"Leeds 014C","E01011579",60,520,61,221,192,46
"Leeds 014D","E01011580",61,621,87,267,204,63
"Leeds 015A","E01011556",62,791,163,408,169,51
"Leeds 015B","E01011557",63,611,121,200,227,63
"Leeds 015C","E01011565",64,595,51,263,230,51
"Leeds 015D","E01011566",65,555,61,250,199,45
"Leeds 015E","E01011568",66,907,147,445,261,54
"Leeds 016A","E01011380",67,675,62,290,265,58
"Leeds 016B","E01011381",68,565,54,214,235,62
"Leeds 016C","E01011385",69,531,53,212,214,52
"Leeds 016D","E01011386",70,749,79,323,279,68
"Leeds 017A","E01011379",71,760,266,323,140,31
"Leeds 017B","E01011384",72,665,127,305,190,43
"Leeds 017E","E01032501",73,513,72,241,163,37
"Leeds 017F","E01032502",74,852,256,400,170,26
"Leeds 018A","E01011555",75,564,56,259,200,49
"Leeds 018B","E01011558",76,737,255,327,130,25
"Leeds 018C","E01011559",77,589,198,252,117,22
"Leeds 018D","E01011560",78,865,344,363,136,22
"Leeds 019A","E01011383",79,754,146,351,203,54
"Leeds 019B","E01011388",80,731,160,326,206,39
"Leeds 019C","E01011684",81,650,98,303,202,47
"Leeds 019D","E01011695",82,727,259,308,129,31
"Leeds 020A","E01011650",83,603,64,205,275,59
"Leeds 020B","E01011651",84,638,104,286,203,45
"Leeds 020C","E01011653",85,633,154,289,153,37
"Leeds 020D","E01011655",86,726,140,328,208,50
"Leeds 021A","E01011455",87,477,35,177,215,50
"Leeds 021B","E01011456",88,674,90,265,242,77
"Leeds 021C","E01011459",89,769,146,389,193,41
"Leeds 021D","E01011461",90,612,67,233,249,63
"Leeds 022A","E01011311",91,485,25,118,233,109
"Leeds 022B","E01011649",92,657,37,262,279,79
"Leeds 022C","E01011715",93,581,65,234,225,57
"Leeds 022D","E01011719",94,631,91,255,216,69
"Leeds 023A","E01011509",95,642,141,282,191,28
"Leeds 023B","E01011511",96,534,98,222,160,54
"Leeds 023C","E01011512",97,716,128,315,227,46
"Leeds 023D","E01011515",98,662,119,302,187,54
"Leeds 023E","E01011516",99,660,69,312,234,45
"Leeds 024A","E01011508",100,473,49,172,192,60
"Leeds 024B","E01011517",101,748,162,379,170,37
"Leeds 024C","E01011652",102,562,81,227,197,57
"Leeds 024D","E01011654",103,537,30,221,235,51
"Leeds 025A","E01011505",104,649,135,286,170,58
"Leeds 025B","E01011506",105,527,73,223,188,43
"Leeds 025C","E01011507",106,664,88,317,217,42
"Leeds 025D","E01011510",107,835,377,348,86,24
"Leeds 025E","E01011514",108,647,65,291,229,62
"Leeds 027A","E01011452",109,659,71,270,257,61
"Leeds 027B","E01011454",110,687,82,355,210,40
"Leeds 027C","E01011457",111,617,55,233,247,82
"Leeds 027D","E01011458",112,1020,60,369,504,87
"Leeds 027E","E01011465",113,836,240,381,188,27
"Leeds 028A","E01011453",114,707,106,347,211,43
"Leeds 028B","E01011460",115,656,141,338,147,30
"Leeds 028C","E01011462",116,726,169,345,173,39
"Leeds 028D","E01011463",117,757,232,344,144,37
"Leeds 028E","E01011464",118,898,161,482,223,32
"Leeds 029A","E01011714",119,772,115,321,268,68
"Leeds 029B","E01011716",120,623,76,259,223,65
"Leeds 029C","E01011717",121,725,185,303,190,47
"Leeds 029D","E01011718",122,824,214,369,205,36
"Leeds 029E","E01011720",123,694,280,288,104,22
"Leeds 030A","E01011296",124,775,92,334,284,65
"Leeds 030B","E01011297",125,708,54,262,291,101
"Leeds 030C","E01011309",126,662,71,256,246,89
"Leeds 030D","E01011310",127,730,107,283,261,79
"Leeds 031A","E01011513",128,964,119,455,335,55
"Leeds 031B","E01011688",129,612,98,315,168,31
"Leeds 031C","E01011689",130,803,214,383,175,31
"Leeds 031D","E01011691",131,690,258,298,106,28
"Leeds 032A","E01011504",132,751,312,328,96,15
"Leeds 032B","E01011641",133,617,73,279,220,45
"Leeds 032C","E01011642",134,494,52,230,175,37
"Leeds 032D","E01011645",135,617,121,270,178,48
"Leeds 033A","E01011484",136,669,276,284,90,19
"Leeds 033B","E01011485",137,763,289,322,127,25
"Leeds 033E","E01011686",138,802,338,340,103,21
"Leeds 033F","E01032493",139,641,103,331,154,53
"Leeds 033G","E01032494",140,721,246,321,124,30
"Leeds 034A","E01011350",141,681,110,346,192,33
"Leeds 034B","E01011351",142,907,200,462,205,40
"Leeds 034C","E01011352",143,963,298,465,167,33
"Leeds 034D","E01011353",144,847,118,433,261,35
"Leeds 035A","E01011656",145,638,236,278,94,30
"Leeds 035B","E01011657",146,606,259,247,81,19
"Leeds 035C","E01011659",147,662,288,249,98,27
"Leeds 035D","E01011661",148,877,518,261,78,20
"Leeds 037A","E01011643",149,632,124,265,199,44
"Leeds 037B","E01011644",150,557,134,232,161,30
"Leeds 037C","E01011646",151,653,104,307,192,50
"Leeds 037D","E01011647",152,542,110,230,129,73
"Leeds 037E","E01011648",153,578,89,236,180,73
"Leeds 038A","E01011354",154,654,300,264,76,14
"Leeds 038B","E01011355",155,609,191,282,115,21
"Leeds 038C","E01011357",156,909,479,343,72,15
"Leeds 038D","E01011450",157,519,139,240,126,14
"Leeds 039A","E01011588",158,707,66,289,290,62
"Leeds 039B","E01011589",159,702,98,321,228,55
"Leeds 039C","E01011590",160,662,57,266,260,79
"Leeds 039D","E01011592",161,793,201,357,196,39
"Leeds 039E","E01011593",162,853,91,394,311,57
"Leeds 040A","E01011421",163,598,181,263,127,27
"Leeds 040B","E01011425",164,607,109,277,165,56
"Leeds 040C","E01011658",165,750,346,290,97,17
"Leeds 040D","E01011660",166,755,244,326,151,34
"Leeds 040E","E01011662",167,518,258,186,58,16
"Leeds 041A","E01011721",168,618,251,247,93,27
"Leeds 041B","E01011722",169,910,278,395,193,44
"Leeds 041C","E01011723",170,711,271,313,113,14
"Leeds 041D","E01011724",171,843,311,349,148,35
"Leeds 042A","E01011356",172,936,277,448,167,44
"Leeds 042B","E01011358",173,715,294,316,86,19
"Leeds 042C","E01011359",174,832,340,357,107,28
"Leeds 042D","E01011360",175,752,347,273,90,42
"Leeds 042E","E01011361",176,1142,555,456,95,36
"Leeds 044A","E01011435",177,606,216,185,122,83
"Leeds 044D","E01011440",178,663,235,259,115,54
"Leeds 044E","E01011441",179,688,248,267,104,69
"Leeds 044G","E01035040",180,536,166,176,112,82
"Leeds 044H","E01035041",181,446,158,150,85,53
"Leeds 045A","E01011477",182,916,375,391,123,27
"Leeds 045B","E01011480",183,650,159,316,133,42
"Leeds 045C","E01011488",184,702,249,318,113,22
"Leeds 045D","E01011489",185,863,349,364,120,30
"Leeds 046A","E01011324",186,552,299,182,55,16
"Leeds 046B","E01011325",187,749,184,365,168,32
"Leeds 046C","E01011326",188,631,219,287,104,21
"Leeds 046D","E01011332",189,691,281,280,107,23
"Leeds 047A","E01011423",190,604,164,267,134,39
"Leeds 047B","E01011424",191,575,145,266,119,45
"Leeds 047C","E01011427",192,581,240,220,93,28
"Leeds 047D","E01011431",193,833,383,318,109,23
"Leeds 048A","E01011422",194,548,254,184,71,39
"Leeds 048B","E01011426",195,498,208,203,68,19
"Leeds 048C","E01011428",196,648,310,233,85,20
"Leeds 048D","E01011429",197,738,396,250,69,23
"Leeds 050A","E01011663",198,589,225,241,102,21
"Leeds 050B","E01011664",199,581,209,259,91,22
"Leeds 050C","E01011665",200,646,234,267,115,30
"Leeds 050D","E01011667",201,543,250,224,58,11
"Leeds 051A","E01011323",202,613,221,247,114,31
"Leeds 051B","E01011329",203,695,136,312,189,58
"Leeds 051C","E01011330",204,582,115,266,165,36
"Leeds 051D","E01011333",205,635,194,269,143,29
"Leeds 052A","E01011327",206,655,204,317,110,24
"Leeds 052B","E01011328",207,708,207,316,139,46
"Leeds 052C","E01011335",208,820,218,387,182,33
"Leeds 052D","E01011591",209,832,126,422,237,47
"Leeds 053A","E01011430",210,485,222,171,70,22
"Leeds 053B","E01011432",211,566,331,175,49,11
"Leeds 053C","E01011433",212,690,435,198,48,9
"Leeds 053D","E01011434",213,659,381,225,46,7
"Leeds 054A","E01011445",214,472,155,141,110,66
"Leeds 054B","E01011446",215,512,205,145,95,67
"Leeds 054C","E01011447",216,433,178,142,69,44
"Leeds 054D","E01011448",217,480,209,136,76,59
"Leeds 054E","E01011449",218,615,336,203,57,19
"Leeds 055A","E01011670",219,779,451,265,56,7
"Leeds 055B","E01011671",220,641,295,266,70,10
"Leeds 055F","E01033002",221,1013,646,304,58,5
"Leeds 055G","E01033003",222,1182,782,358,39,3
"Leeds 055I","E01035042",223,463,290,136,29,8
"Leeds 055J","E01035043",224,435,257,110,41,27
"Leeds 056A","E01011478",225,805,350,301,107,47
"Leeds 056B","E01011479",226,618,240,239,112,27
"Leeds 056C","E01011481",227,710,362,235,93,20
"Leeds 056D","E01011482",228,873,348,388,116,21
