"2021 super output area - lower layer","mnemonic","Total: All usual residents aged 16 years and over","Economically active (excluding full-time students)","Economically active (excluding full-time students):In employment","Economically active (excluding full-time students): Unemployed","Economically active and a full-time student","Economically active and a full-time student:In employment","Economically active and a full-time student: Unemployed","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"Leeds 001A","E01011698",100.0,58.3,55.8,2.5,1.9,1.6,0.3,39.9,30.8,3.7,1.9,1.6,1.9
"Leeds 001B","E01011699",100.0,54.1,53.3,0.8,1.6,1.3,0.4,44.3,37.6,2.6,1.4,1.1,1.5
"Leeds 001C","E01011701",100.0,54.9,53.2,1.7,1.6,1.2,0.3,43.5,34.2,3.8,1.9,2.0,1.6
"Leeds 001D","E01011702",100.0,54.4,52.7,1.7,1.5,1.4,0.2,44.1,33.7,4.4,3.4,1.2,1.4
"Leeds 001E","E01011703",100.0,37.7,36.1,1.6,1.2,0.7,0.5,61.1,51.9,3.1,3.0,1.0,2.2
"Leeds 002A","E01011697",100.0,42.4,40.4,1.9,1.6,1.2,0.3,56.0,19.6,3.4,2.2,5.8,25.0
"Leeds 002B","E01011700",100.0,44.6,43.6,1.0,0.9,0.7,0.2,54.5,37.7,3.2,1.9,4.9,6.9
"Leeds 002C","E01011704",100.0,49.9,48.4,1.5,1.0,0.6,0.4,49.1,36.5,1.7,2.6,5.7,2.6
"Leeds 002D","E01011705",100.0,56.9,54.0,2.8,1.1,0.8,0.3,42.1,28.0,2.5,3.3,5.7,2.5
"Leeds 003A","E01011581",100.0,56.4,54.1,2.3,1.2,0.4,0.7,42.5,33.2,3.2,2.4,1.8,1.8
"Leeds 003B","E01011582",100.0,56.8,53.2,3.6,1.9,1.5,0.4,41.2,23.6,2.7,4.3,7.6,3.1
"Leeds 003C","E01011583",100.0,60.6,58.8,1.8,1.3,0.7,0.6,38.1,28.2,3.4,3.2,1.5,1.9
"Leeds 003D","E01011584",100.0,57.8,56.6,1.2,1.8,1.3,0.5,40.4,31.7,3.2,2.5,2.3,0.7
"Leeds 004A","E01011569",100.0,57.9,55.8,2.0,1.6,1.2,0.3,40.6,30.7,2.6,2.9,2.7,1.6
"Leeds 004B","E01011571",100.0,57.0,55.6,1.5,1.7,1.5,0.1,41.3,29.8,2.9,3.2,3.7,1.6
"Leeds 004C","E01011572",100.0,63.0,61.2,1.8,1.8,1.4,0.3,35.2,25.8,3.4,2.9,2.3,0.9
"Leeds 004D","E01011573",100.0,59.9,58.4,1.5,1.7,1.6,0.1,38.4,28.6,3.3,2.7,2.1,1.6
"Leeds 004E","E01011574",100.0,48.0,46.6,1.4,1.3,0.8,0.5,50.7,39.5,2.3,2.7,4.7,1.5
"Leeds 005A","E01011707",100.0,50.8,50.1,0.7,2.7,1.9,0.7,46.5,36.8,3.8,2.2,2.3,1.4
"Leeds 005B","E01011709",100.0,53.5,52.1,1.4,1.7,1.4,0.3,44.9,34.3,4.3,3.2,2.1,0.9
"Leeds 005C","E01011710",100.0,59.9,58.9,1.1,1.2,1.1,0.2,38.8,30.7,2.6,2.6,1.9,1.0
"Leeds 005D","E01011711",100.0,54.4,52.7,1.7,1.7,1.0,0.7,43.9,33.7,3.2,2.9,2.3,1.9
"Leeds 005E","E01011712",100.0,60.9,59.5,1.4,1.6,1.0,0.6,37.5,26.5,3.3,4.1,1.6,2.0
"Leeds 006A","E01011561",100.0,62.0,59.7,2.3,0.4,0.4,0.0,37.6,26.9,3.6,3.7,0.9,2.6
"Leeds 006B","E01011696",100.0,54.9,53.4,1.4,0.9,0.8,0.1,44.3,35.6,3.4,2.6,1.4,1.3
"Leeds 006C","E01011706",100.0,52.7,51.9,0.8,1.4,1.2,0.2,45.8,34.6,4.7,4.2,0.6,1.8
"Leeds 006D","E01011708",100.0,58.7,56.8,1.8,1.2,0.9,0.3,40.1,31.0,2.8,2.8,1.7,1.8
"Leeds 006E","E01011713",100.0,58.4,57.7,0.7,1.3,1.0,0.3,40.3,31.8,3.3,3.0,0.6,1.6
"Leeds 007A","E01011570",100.0,60.0,58.5,1.5,1.8,1.5,0.3,38.2,27.3,4.4,3.2,1.9,1.3
"Leeds 007C","E01011576",100.0,59.6,57.9,1.7,1.3,1.0,0.3,39.1,27.6,4.1,3.9,1.6,1.8
"Leeds 007E","E01032503",100.0,56.7,55.6,1.2,1.8,1.3,0.4,41.5,31.5,3.6,3.7,0.8,1.9
"Leeds 007F","E01032504",100.0,53.2,51.5,1.7,1.5,0.7,0.8,45.3,34.9,4.2,3.6,1.3,1.2
"Leeds 008A","E01011266",100.0,68.2,67.2,1.0,1.3,1.1,0.2,30.6,22.4,3.2,2.4,1.0,1.5
"Leeds 008B","E01011270",100.0,55.4,54.7,0.7,1.6,1.1,0.5,42.9,34.9,3.4,2.8,0.9,1.0
"Leeds 008C","E01011279",100.0,58.1,56.9,1.2,1.7,1.1,0.6,40.2,32.2,3.5,1.9,1.7,0.8
"Leeds 008D","E01011280",100.0,65.6,64.2,1.4,1.5,1.4,0.1,32.9,23.8,4.2,2.1,0.8,2.0
"Leeds 009A","E01011265",100.0,60.8,59.0,1.8,1.1,0.8,0.4,38.0,25.9,4.1,2.9,3.8,1.3
"Leeds 009B","E01011267",100.0,57.0,54.9,2.1,1.5,1.1,0.4,41.5,26.2,5.0,3.1,4.8,2.4
"Leeds 009C","E01011271",100.0,62.9,60.9,1.9,2.3,1.8,0.5,34.8,26.4,3.0,2.3,1.2,1.9
"Leeds 009D","E01011272",100.0,61.5,59.2,2.3,2.0,1.4,0.7,36.5,27.9,4.2,1.8,0.8,1.8
"Leeds 010A","E01011268",100.0,60.2,56.6,3.5,1.5,1.4,0.2,38.3,18.5,3.6,5.2,7.2,3.7
"Leeds 010B","E01011273",100.0,64.5,62.3,2.2,1.9,1.7,0.2,33.6,23.5,2.7,2.6,2.8,2.0
"Leeds 010C","E01011274",100.0,56.4,51.9,4.5,2.9,1.4,1.5,40.7,25.9,3.0,3.3,6.4,2.1
"Leeds 010D","E01011275",100.0,59.0,57.2,1.9,1.8,1.4,0.4,39.2,26.1,3.5,3.1,4.1,2.3
"Leeds 011A","E01011264",100.0,53.9,51.9,2.0,1.4,0.6,0.7,44.7,33.2,2.9,2.2,3.7,2.7
"Leeds 011B","E01011269",100.0,58.4,56.7,1.7,1.4,1.3,0.2,40.2,28.1,2.9,1.8,4.2,3.1
"Leeds 011C","E01011276",100.0,64.8,63.0,1.8,1.0,0.8,0.2,34.2,26.7,2.4,1.6,1.3,2.1
"Leeds 011D","E01011578",100.0,55.4,54.0,1.5,1.8,1.3,0.6,42.7,33.1,2.6,3.0,2.9,1.1
"Leeds 012A","E01011554",100.0,58.2,56.6,1.6,1.8,1.6,0.2,40.0,29.0,4.7,3.1,1.6,1.8
"Leeds 012B","E01011562",100.0,55.6,53.7,1.9,0.8,0.5,0.3,43.5,31.7,4.4,4.5,1.0,2.0
"Leeds 012C","E01011563",100.0,53.9,52.4,1.6,1.2,0.9,0.3,44.9,35.4,2.9,2.8,1.2,2.6
"Leeds 012D","E01011564",100.0,60.8,59.2,1.6,2.6,1.5,1.1,36.6,27.3,4.0,3.4,0.7,1.2
"Leeds 012E","E01011567",100.0,61.9,60.3,1.6,2.2,1.7,0.5,36.0,25.1,4.3,4.7,1.0,0.9
"Leeds 013A","E01011376",100.0,61.4,60.2,1.2,2.0,1.5,0.5,36.6,31.1,1.7,2.4,1.3,0.1
"Leeds 013B","E01011377",100.0,53.8,53.0,0.9,1.5,0.9,0.6,44.7,35.0,3.9,2.5,2.0,1.4
"Leeds 013C","E01011378",100.0,50.8,45.9,5.0,1.6,1.0,0.5,47.6,19.5,5.2,6.0,11.8,5.2
"Leeds 013D","E01011382",100.0,61.9,60.4,1.5,0.8,0.5,0.3,37.3,29.6,3.1,2.4,1.0,1.2
"Leeds 014A","E01011277",100.0,70.4,68.2,2.3,2.0,1.6,0.5,27.5,16.9,4.3,2.7,2.0,1.7
"Leeds 014B","E01011278",100.0,65.7,64.3,1.4,2.2,1.8,0.4,32.1,24.5,2.9,1.5,2.2,1.0
"Leeds 014C","E01011579",100.0,68.3,65.6,2.7,1.4,1.2,0.2,30.3,21.6,2.8,2.8,2.3,0.8
"Leeds 014D","E01011580",100.0,57.6,55.8,1.7,2.0,1.6,0.4,40.4,31.4,3.8,2.2,2.1,1.0
"Leeds 015A","E01011556",100.0,63.4,59.8,3.6,2.4,1.3,1.0,34.2,18.3,5.4,4.3,3.2,3.0
"Leeds 015B","E01011557",100.0,57.5,56.3,1.2,2.0,1.5,0.4,40.5,28.7,2.8,4.1,2.9,1.9
"Leeds 015C","E01011565",100.0,61.5,59.8,1.7,1.9,1.4,0.5,36.6,25.8,3.1,4.1,1.9,1.7
"Leeds 015D","E01011566",100.0,60.4,57.5,3.0,0.7,0.5,0.3,38.8,24.6,5.2,4.1,2.9,2.0
"Leeds 015E","E01011568",100.0,56.9,54.9,2.0,0.7,0.6,0.1,42.4,32.7,2.6,2.7,2.2,2.2
"Leeds 016A","E01011380",100.0,55.4,53.5,1.9,1.4,1.1,0.3,43.2,33.8,3.7,2.3,1.8,1.5
"Leeds 016B","E01011381",100.0,54.0,53.5,0.5,1.1,1.1,0.0,44.9,27.8,4.4,4.0,1.2,7.5
"Leeds 016C","E01011385",100.0,54.1,49.3,4.8,1.4,1.0,0.4,44.5,29.7,6.0,3.7,2.9,2.2
"Leeds 016D","E01011386",100.0,64.3,62.5,1.8,1.9,1.4,0.4,33.9,21.2,5.5,3.7,1.0,2.5
"Leeds 017A","E01011379",100.0,56.2,52.6,3.7,1.6,1.4,0.2,42.2,20.5,4.5,5.3,8.7,3.3
"Leeds 017B","E01011384",100.0,57.9,56.0,1.9,1.1,0.7,0.4,41.1,26.4,4.2,3.6,5.0,1.9
"Leeds 017E","E01032501",100.0,62.5,61.1,1.3,0.7,0.4,0.3,36.8,26.7,4.3,2.7,1.7,1.4
"Leeds 017F","E01032502",100.0,62.7,59.1,3.6,2.5,2.0,0.5,34.9,12.3,4.8,6.6,8.1,3.1
"Leeds 018A","E01011555",100.0,58.0,56.3,1.7,1.0,0.7,0.3,41.0,29.9,3.9,3.2,2.2,1.8
"Leeds 018B","E01011558",100.0,56.7,51.9,4.8,1.9,1.2,0.7,41.4,13.0,5.8,10.0,7.6,5.0
"Leeds 018C","E01011559",100.0,52.9,48.8,4.1,3.1,2.3,0.8,44.0,16.5,6.3,6.6,10.6,4.1
"Leeds 018D","E01011560",100.0,53.1,49.0,4.1,1.4,1.2,0.2,45.5,16.9,5.7,7.9,9.3,5.7
"Leeds 019A","E01011383",100.0,56.3,55.1,1.2,1.2,0.9,0.3,42.5,27.2,5.6,4.7,3.0,2.0
"Leeds 019B","E01011388",100.0,56.9,55.0,2.0,1.4,1.2,0.2,41.6,26.1,5.2,3.6,3.6,3.1
"Leeds 019C","E01011684",100.0,60.2,58.3,1.9,2.1,1.8,0.2,37.7,25.5,4.5,4.1,1.9,1.7
"Leeds 019D","E01011695",100.0,52.4,47.8,4.6,3.4,1.8,1.6,44.2,16.9,6.9,5.8,8.7,5.9
"Leeds 020A","E01011650",100.0,62.4,60.2,2.2,1.2,0.9,0.3,36.4,25.2,4.2,3.8,1.4,1.9
"Leeds 020B","E01011651",100.0,65.3,62.7,2.7,2.6,2.3,0.3,32.1,17.4,4.2,4.3,3.6,2.6
"Leeds 020C","E01011653",100.0,66.8,64.7,2.1,2.0,1.6,0.3,31.2,19.8,4.8,2.2,1.6,2.8
"Leeds 020D","E01011655",100.0,58.5,57.0,1.5,1.0,0.4,0.6,40.5,29.3,3.8,3.0,2.8,1.5
"Leeds 021A","E01011455",100.0,51.5,51.0,0.5,4.5,2.2,2.4,44.0,27.0,13.9,1.9,0.6,0.5
"Leeds 021B","E01011456",100.0,45.2,43.9,1.3,8.5,4.9,3.6,46.2,24.9,17.8,1.7,0.8,1.1
