"row","Total: All usual residents aged 16 years and over","Economically active (excluding full-time students)","Economically active (excluding full-time students):In employment","Economically active (excluding full-time students):In employment:Employee","Economically active (excluding full-time students): In employment: Employee: Part-time","Economically active (excluding full-time students): In employment: Employee: Full-time","Economically active (excluding full-time students):In employment:Self-employed with employees","Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time","Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time","Economically active (excluding full-time students):In employment:Self-employed without employees","Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time","Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time","Economically active (excluding full-time students): Unemployed","Economically active and a full-time student","Economically active and a full-time student:In employment","Economically active and a full-time student:In employment:Employee","Economically active and a full-time student: In employment: Employee: Part-time","Economically active and a full-time student: In employment: Employee: Full-time","Economically active and a full-time student:In employment:Self-employed with employees","Economically active and a full-time student: In employment: Self-employed with employees: Part-time","Economically active and a full-time student: In employment: Self-employed with employees: Full-time","Economically active and a full-time student:In employment:Self-employed without employees","Economically active and a full-time student: In employment: Self-employed without employees: Part-time","Economically active and a full-time student: In employment: Self-employed without employees: Full-time","Economically active and a full-time student: Unemployed","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other","2021 super output area - lower layer","mnemonic"
1,1212,706,676,579,163,416,19,7,12,78,44,34,30,23,19,18,16,2,0,0,0,1,0,1,4,483,373,45,23,19,23,"Leeds 001A","E01011698"
2,1100,595,586,495,128,367,15,3,12,76,34,42,9,18,14,14,13,1,0,0,0,0,0,0,4,487,414,29,15,12,17,"Leeds 001B","E01011699"
3,1144,628,609,514,139,375,10,4,6,85,42,43,19,18,14,14,13,1,0,0,0,0,0,0,4,498,391,44,22,23,18,"Leeds 001C","E01011701"
4,1323,720,697,572,139,433,44,5,39,81,45,36,23,20,18,17,16,1,0,0,0,1,1,0,2,583,446,58,45,16,18,"Leeds 001D","E01011702"
5,1101,415,397,345,106,239,6,2,4,46,26,20,18,13,8,8,6,2,0,0,0,0,0,0,5,673,571,34,33,11,24,"Leeds 001E","E01011703"
6,2005,850,811,668,180,488,42,16,26,101,43,58,39,32,25,24,19,5,0,0,0,1,0,1,7,1123,392,69,44,117,501,"Leeds 002A","E01011697"
7,1289,575,562,483,122,361,13,2,11,66,23,43,13,11,9,9,8,1,0,0,0,0,0,0,2,703,486,41,24,63,89,"Leeds 002B","E01011700"
8,1933,964,935,795,170,625,36,7,29,104,47,57,29,20,12,10,9,1,0,0,0,2,1,1,8,949,705,33,50,111,50,"Leeds 002C","E01011704"
9,1138,647,615,539,133,406,10,3,7,66,31,35,32,12,9,7,7,0,0,0,0,2,2,0,3,479,319,29,38,65,28,"Leeds 002D","E01011705"
10,1359,766,735,614,172,442,19,1,18,102,42,60,31,16,6,4,3,1,0,0,0,2,0,2,10,577,451,44,33,24,25,"Leeds 003A","E01011581"
11,1293,735,688,555,194,361,17,2,15,116,42,74,47,25,20,19,16,3,0,0,0,1,1,0,5,533,305,35,55,98,40,"Leeds 003B","E01011582"
12,1268,769,746,608,179,429,24,7,17,114,53,61,23,16,9,7,6,1,0,0,0,2,2,0,7,483,357,43,40,19,24,"Leeds 003C","E01011583"
13,1377,796,779,647,173,474,11,2,9,121,58,63,17,25,18,17,16,1,0,0,0,1,1,0,7,556,436,44,35,32,9,"Leeds 003D","E01011584"
14,1483,858,828,676,173,503,27,11,16,125,62,63,30,23,18,17,11,6,0,0,0,1,1,0,5,602,456,39,43,40,24,"Leeds 004A","E01011569"
