"2021 super output area - middle layer","mnemonic","Total: All usual residents aged 16 years and over","Economically active (excluding full-time students)","Economically active (excluding full-time students):In employment","Economically active (excluding full-time students): Unemployed","Economically active and a full-time student","Economically active and a full-time student:In employment","Economically active and a full-time student: Unemployed","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"Leeds 001","E02002330",100.0,52.1,50.4,1.7,1.6,1.3,0.3,46.3,37.3,3.6,2.3,1.4,1.7
"Leeds 002","E02002331",100.0,47.6,45.9,1.8,1.2,0.9,0.3,51.2,29.9,2.7,2.5,5.6,10.5
"Leeds 003","E02002332",100.0,57.8,55.6,2.2,1.5,1.0,0.5,40.6,29.2,3.2,3.1,3.3,1.8
"Leeds 004","E02002333",100.0,57.3,55.6,1.7,1.6,1.3,0.3,41.1,30.8,2.9,2.8,3.1,1.5
"Leeds 005","E02002334",100.0,55.8,54.6,1.3,1.7,1.3,0.5,42.4,32.5,3.5,3.0,2.0,1.4
"Leeds 006","E02002335",100.0,57.2,55.8,1.3,1.0,0.8,0.2,41.8,32.2,3.6,3.2,1.0,1.7
"Leeds 007","E02002336",100.0,57.5,56.0,1.5,1.6,1.2,0.5,40.9,30.2,4.1,3.6,1.5,1.5
"Leeds 008","E02002337",100.0,62.8,61.8,1.0,1.5,1.2,0.3,35.7,27.3,3.6,2.4,1.1,1.4
"Leeds 009","E02002338",100.0,60.7,58.6,2.0,1.7,1.3,0.5,37.6,26.5,4.0,2.6,2.6,1.9
"Leeds 010","E02002339",100.0,60.1,57.1,3.0,2.1,1.5,0.6,37.8,23.5,3.2,3.5,5.0,2.6
"Leeds 011","E02002340",100.0,58.7,56.9,1.8,1.3,1.0,0.4,40.0,29.9,2.7,2.1,3.0,2.3
"Leeds 012","E02002341",100.0,58.0,56.3,1.7,1.7,1.3,0.5,40.3,29.8,4.0,3.7,1.1,1.7
"Leeds 013","E02002342",100.0,57.3,55.3,2.1,1.5,1.0,0.5,41.2,28.9,3.4,3.3,3.8,1.9
"Leeds 014","E02002343",100.0,65.6,63.6,2.0,1.9,1.5,0.4,32.5,23.6,3.5,2.2,2.1,1.1
"Leeds 015","E02002344",100.0,59.8,57.5,2.4,1.5,1.1,0.5,38.6,26.3,3.8,3.8,2.6,2.2
"Leeds 016","E02002345",100.0,57.3,55.1,2.2,1.5,1.2,0.3,41.2,27.9,4.9,3.4,1.7,3.4
"Leeds 017","E02002346",100.0,59.8,57.0,2.8,1.5,1.2,0.3,38.7,20.8,4.5,4.7,6.2,2.5
"Leeds 018","E02002347",100.0,55.1,51.4,3.7,1.8,1.3,0.5,43.1,18.7,5.5,7.0,7.6,4.3
"Leeds 019","E02002348",100.0,56.4,54.0,2.4,2.0,1.4,0.6,41.6,24.0,5.6,4.5,4.3,3.2
"Leeds 020","E02002349",100.0,63.2,61.1,2.1,1.6,1.3,0.4,35.1,23.0,4.3,3.3,2.4,2.2
"Leeds 021","E02002350",100.0,53.3,52.0,1.3,4.4,2.5,1.9,42.3,26.7,10.3,2.1,1.7,1.6
"Leeds 022","E02002351",100.0,57.6,56.0,1.6,1.4,0.9,0.4,41.0,31.3,3.2,3.2,1.9,1.4
"Leeds 023","E02002352",100.0,62.6,60.6,2.0,1.7,1.3,0.3,35.7,23.1,4.3,3.4,2.3,2.7
"Leeds 024","E02002353",100.0,64.9,62.9,2.0,2.0,1.6,0.4,33.2,19.9,4.6,3.5,2.7,2.5
"Leeds 025","E02002354",100.0,60.1,57.3,2.8,1.7,1.1,0.5,38.3,21.5,4.8,4.7,4.4,2.8
"Leeds 027","E02002356",100.0,66.8,65.3,1.6,1.6,1.3,0.3,31.6,21.9,4.2,2.7,1.4,1.5
"Leeds 028","E02002357",100.0,63.6,61.3,2.4,1.9,1.4,0.5,34.5,21.1,4.1,3.2,3.6,2.5
"Leeds 029","E02002358",100.0,61.2,58.5,2.7,1.5,1.1,0.5,37.3,22.3,3.2,4.1,5.4,2.3
"Leeds 030","E02002359",100.0,57.3,55.4,1.9,1.3,0.9,0.4,41.4,31.9,3.0,2.5,1.9,2.0
"Leeds 031","E02002360",100.0,66.3,64.0,2.3,2.1,1.5,0.6,31.6,17.3,4.6,2.9,4.1,2.7
"Leeds 032","E02002361",100.0,64.1,60.8,3.3,1.7,1.2,0.5,34.2,17.4,5.6,4.2,4.0,2.9
"Leeds 033","E02002362",100.0,58.6,54.7,4.0,1.4,1.0,0.4,40.0,15.8,5.3,5.9,7.3,5.6
"Leeds 034","E02002363",100.0,70.0,67.8,2.2,1.7,1.5,0.2,28.3,17.9,4.4,1.7,2.4,1.9
"Leeds 035","E02002364",100.0,52.4,47.4,4.9,1.3,0.9,0.4,46.3,20.2,4.3,5.9,11.7,4.2
"Leeds 037","E02002366",100.0,56.7,54.0,2.7,2.5,1.7,0.8,40.8,20.6,6.7,6.7,3.1,3.6
"Leeds 038","E02002367",100.0,58.4,53.7,4.8,2.5,2.0,0.5,39.1,13.6,6.9,6.2,8.2,4.2
"Leeds 039","E02002368",100.0,66.2,64.7,1.5,1.6,1.3,0.4,32.2,22.9,3.0,2.2,2.4,1.6
