"2021 super output area - lower layer","mnemonic","Total: All households","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 or more cars or vans in household"
"Leeds 001A","E01011698",100.0,14.4,40.8,37.0,7.8
"Leeds 001B","E01011699",100.0,6.9,44.9,38.0,10.2
"Leeds 001C","E01011701",100.0,10.6,40.1,41.9,7.4
"Leeds 001D","E01011702",100.0,7.8,28.8,47.1,16.3
"Leeds 001E","E01011703",100.0,6.0,40.6,42.0,11.3
"Leeds 002A","E01011697",100.0,11.4,39.2,37.0,12.5
"Leeds 002B","E01011700",100.0,17.2,40.5,32.2,10.2
"Leeds 002C","E01011704",100.0,25.9,47.2,22.4,4.5
"Leeds 002D","E01011705",100.0,24.6,45.2,26.0,4.2
"Leeds 003A","E01011581",100.0,11.4,46.1,33.2,9.3
"Leeds 003B","E01011582",100.0,32.6,39.0,22.5,5.9
"Leeds 003C","E01011583",100.0,9.9,43.7,36.0,10.4
"Leeds 003D","E01011584",100.0,12.8,45.3,32.7,9.2
"Leeds 004A","E01011569",100.0,26.2,45.3,22.4,6.1
"Leeds 004B","E01011571",100.0,18.8,44.8,26.6,9.7
"Leeds 004C","E01011572",100.0,15.3,52.2,28.3,4.2
"Leeds 004D","E01011573",100.0,11.2,42.5,35.7,10.5
"Leeds 004E","E01011574",100.0,29.4,43.7,21.7,5.1
"Leeds 005A","E01011707",100.0,17.3,40.0,33.8,8.9
"Leeds 005B","E01011709",100.0,12.5,33.5,42.5,11.5
"Leeds 005C","E01011710",100.0,11.5,38.8,37.9,11.8
"Leeds 005D","E01011711",100.0,13.5,40.8,34.0,11.7
"Leeds 005E","E01011712",100.0,8.3,37.0,41.9,12.8
"Leeds 006A","E01011561",100.0,7.2,37.1,41.0,14.7
"Leeds 006B","E01011696",100.0,8.8,32.8,44.2,14.2
"Leeds 006C","E01011706",100.0,6.3,29.1,50.2,14.4
"Leeds 006D","E01011708",100.0,8.6,31.4,46.5,13.5
"Leeds 006E","E01011713",100.0,5.0,30.0,48.7,16.4
"Leeds 007A","E01011570",100.0,8.1,37.5,40.8,13.6
"Leeds 007C","E01011576",100.0,5.0,28.4,48.6,17.9
"Leeds 007E","E01032503",100.0,7.7,36.6,38.6,17.1
"Leeds 007F","E01032504",100.0,8.6,35.9,43.6,11.9
"Leeds 008A","E01011266",100.0,7.8,45.4,37.5,9.2
"Leeds 008B","E01011270",100.0,4.5,33.0,46.6,15.8
"Leeds 008C","E01011279",100.0,17.8,46.4,27.0,8.8
"Leeds 008D","E01011280",100.0,9.9,43.1,37.3,9.7
"Leeds 009A","E01011265",100.0,24.5,48.7,23.0,3.8
"Leeds 009B","E01011267",100.0,23.2,46.5,23.5,6.8
"Leeds 009C","E01011271",100.0,11.4,46.3,34.9,7.4
"Leeds 009D","E01011272",100.0,9.7,40.7,39.6,9.9
"Leeds 010A","E01011268",100.0,32.4,43.1,18.1,6.4
"Leeds 010B","E01011273",100.0,19.3,45.7,29.8,5.3
"Leeds 010C","E01011274",100.0,34.8,43.4,16.7,5.1
"Leeds 010D","E01011275",100.0,16.3,49.3,25.9,8.5
"Leeds 011A","E01011264",100.0,19.1,46.7,26.6,7.6
"Leeds 011B","E01011269",100.0,26.2,42.1,25.1,6.6
"Leeds 011C","E01011276",100.0,16.9,42.6,32.4,8.1
"Leeds 011D","E01011578",100.0,16.9,51.3,23.2,8.5
"Leeds 012A","E01011554",100.0,10.2,43.1,36.5,10.2
"Leeds 012B","E01011562",100.0,6.4,36.8,40.3,16.5
"Leeds 012C","E01011563",100.0,11.6,39.4,37.5,11.5
"Leeds 012D","E01011564",100.0,8.2,40.7,39.9,11.2
"Leeds 012E","E01011567",100.0,8.0,47.5,33.4,11.1
"Leeds 013A","E01011376",100.0,8.8,39.6,40.7,10.9
"Leeds 013B","E01011377",100.0,15.2,41.7,33.3,9.8
"Leeds 013C","E01011378",100.0,42.6,40.5,13.9,3.0
"Leeds 013D","E01011382",100.0,11.4,51.4,31.8,5.4
"Leeds 014A","E01011277",100.0,9.2,41.2,41.2,8.4
"Leeds 014B","E01011278",100.0,11.5,48.2,32.9,7.4
"Leeds 014C","E01011579",100.0,11.7,42.5,36.9,8.8
"Leeds 014D","E01011580",100.0,14.0,43.0,32.9,10.1
"Leeds 015A","E01011556",100.0,20.6,51.6,21.4,6.4
"Leeds 015B","E01011557",100.0,19.8,32.7,37.2,10.3
"Leeds 015C","E01011565",100.0,8.6,44.2,38.7,8.6
"Leeds 015D","E01011566",100.0,11.0,45.0,35.9,8.1
"Leeds 015E","E01011568",100.0,16.2,49.1,28.8,6.0
"Leeds 016A","E01011380",100.0,9.2,43.0,39.3,8.6
"Leeds 016B","E01011381",100.0,9.6,37.9,41.6,11.0
"Leeds 016C","E01011385",100.0,10.0,39.9,40.3,9.8
"Leeds 016D","E01011386",100.0,10.5,43.1,37.2,9.1
"Leeds 017A","E01011379",100.0,35.0,42.5,18.4,4.1
"Leeds 017B","E01011384",100.0,19.1,45.9,28.6,6.5
"Leeds 017E","E01032501",100.0,14.0,47.0,31.8,7.2
"Leeds 017F","E01032502",100.0,30.0,46.9,20.0,3.1
"Leeds 018A","E01011555",100.0,9.9,45.9,35.5,8.7
"Leeds 018B","E01011558",100.0,34.6,44.4,17.6,3.4
"Leeds 018C","E01011559",100.0,33.6,42.8,19.9,3.7
"Leeds 018D","E01011560",100.0,39.8,42.0,15.7,2.5
"Leeds 019A","E01011383",100.0,19.4,46.6,26.9,7.2
"Leeds 019B","E01011388",100.0,21.9,44.6,28.2,5.3
"Leeds 019C","E01011684",100.0,15.1,46.6,31.1,7.2
"Leeds 019D","E01011695",100.0,35.6,42.4,17.7,4.3
"Leeds 020A","E01011650",100.0,10.6,34.0,45.6,9.8
"Leeds 020B","E01011651",100.0,16.3,44.8,31.8,7.1
"Leeds 020C","E01011653",100.0,24.3,45.7,24.2,5.8
"Leeds 020D","E01011655",100.0,19.3,45.2,28.7,6.9
"Leeds 021A","E01011455",100.0,7.3,37.1,45.1,10.5
"Leeds 021B","E01011456",100.0,13.4,39.3,35.9,11.4
"Leeds 021C","E01011459",100.0,19.0,50.6,25.1,5.3
"Leeds 021D","E01011461",100.0,10.9,38.1,40.7,10.3
"Leeds 022A","E01011311",100.0,5.2,24.3,48.0,22.5
"Leeds 022B","E01011649",100.0,5.6,39.9,42.5,12.0
"Leeds 022C","E01011715",100.0,11.2,40.3,38.7,9.8
"Leeds 022D","E01011719",100.0,14.4,40.4,34.2,10.9
"Leeds 023A","E01011509",100.0,22.0,43.9,29.8,4.4
"Leeds 023B","E01011511",100.0,18.4,41.6,30.0,10.1
"Leeds 023C","E01011512",100.0,17.9,44.0,31.7,6.4
"Leeds 023D","E01011515",100.0,18.0,45.6,28.2,8.2
"Leeds 023E","E01011516",100.0,10.5,47.3,35.5,6.8
"Leeds 024A","E01011508",100.0,10.4,36.4,40.6,12.7
"Leeds 024B","E01011517",100.0,21.7,50.7,22.7,4.9
"Leeds 024C","E01011652",100.0,14.4,40.4,35.1,10.1
"Leeds 024D","E01011654",100.0,5.6,41.2,43.8,9.5
"Leeds 025A","E01011505",100.0,20.8,44.1,26.2,8.9
"Leeds 025B","E01011506",100.0,13.9,42.3,35.7,8.2
"Leeds 025C","E01011507",100.0,13.3,47.7,32.7,6.3
"Leeds 025D","E01011510",100.0,45.1,41.7,10.3,2.9
"Leeds 025E","E01011514",100.0,10.0,45.0,35.4,9.6
"Leeds 027A","E01011452",100.0,10.8,41.0,39.0,9.3
"Leeds 027B","E01011454",100.0,11.9,51.7,30.6,5.8
"Leeds 027C","E01011457",100.0,8.9,37.8,40.0,13.3
"Leeds 027D","E01011458",100.0,5.9,36.2,49.4,8.5
"Leeds 027E","E01011465",100.0,28.7,45.6,22.5,3.2
"Leeds 028A","E01011453",100.0,15.0,49.1,29.8,6.1
"Leeds 028B","E01011460",100.0,21.5,51.5,22.4,4.6
"Leeds 028C","E01011462",100.0,23.3,47.5,23.8,5.4
"Leeds 028D","E01011463",100.0,30.6,45.4,19.0,4.9
"Leeds 028E","E01011464",100.0,17.9,53.7,24.8,3.6
