"2021 super output area - middle layer","mnemonic","Total: All households","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 or more cars or vans in household"
"Leeds 001","E02002330",100.0,9.2,38.8,41.3,10.7
"Leeds 002","E02002331",100.0,20.7,43.6,28.3,7.3
"Leeds 003","E02002332",100.0,16.9,43.5,31.0,8.6
"Leeds 004","E02002333",100.0,20.7,46.0,26.4,6.9
"Leeds 005","E02002334",100.0,12.6,37.7,38.3,11.4
"Leeds 006","E02002335",100.0,7.2,31.8,46.3,14.7
"Leeds 007","E02002336",100.0,7.5,35.1,42.6,14.8
"Leeds 008","E02002337",100.0,9.4,42.4,37.5,10.6
"Leeds 009","E02002338",100.0,17.7,46.0,29.6,6.7
"Leeds 010","E02002339",100.0,25.7,45.3,22.7,6.3
"Leeds 011","E02002340",100.0,19.9,45.2,27.1,7.7
"Leeds 012","E02002341",100.0,8.9,41.4,37.6,12.1
"Leeds 013","E02002342",100.0,19.6,43.5,29.8,7.1
"Leeds 014","E02002343",100.0,11.6,44.0,35.8,8.6
"Leeds 015","E02002344",100.0,15.7,45.3,31.4,7.6
"Leeds 016","E02002345",100.0,9.8,41.2,39.3,9.6
"Leeds 017","E02002346",100.0,25.8,45.5,23.8,4.9
"Leeds 018","E02002347",100.0,31.0,43.6,21.2,4.3
"Leeds 019","E02002348",100.0,23.2,45.0,25.9,6.0
"Leeds 020","E02002349",100.0,17.8,42.6,32.3,7.3
"Leeds 021","E02002350",100.0,13.3,42.0,35.5,9.1
"Leeds 022","E02002351",100.0,9.3,36.9,40.4,13.4
"Leeds 023","E02002352",100.0,17.3,44.6,31.1,7.1
"Leeds 024","E02002353",100.0,13.9,43.1,34.1,8.9
"Leeds 025","E02002354",100.0,22.3,44.0,26.8,6.9
"Leeds 027","E02002356",100.0,13.3,42.1,36.8,7.8
"Leeds 028","E02002357",100.0,21.6,49.6,24.0,4.8
"Leeds 029","E02002358",100.0,23.9,42.3,27.2,6.5
"Leeds 030","E02002359",100.0,11.3,39.5,37.7,11.5
"Leeds 031","E02002360",100.0,22.4,47.3,25.5,4.8
"Leeds 032","E02002361",100.0,22.5,44.7,27.0,5.8
"Leeds 033","E02002362",100.0,34.8,44.4,16.7,4.1
"Leeds 034","E02002363",100.0,21.4,50.2,24.3,4.1
"Leeds 035","E02002364",100.0,46.8,37.2,12.7,3.4
"Leeds 037","E02002366",100.0,18.9,42.9,29.1,9.2
"Leeds 038","E02002367",100.0,41.3,42.0,14.4,2.3
